customerid,gender,age,annual_income_kdollar,spending_score_1_100,customerid_is_outlier,age_is_outlier,annual_income_kdollar_is_outlier,spending_score_1_100_is_outlier
99,Male,48,61,42,False,False,False,False
100,Male,20,61,49,False,False,False,False
101,Female,23,62,41,False,False,False,False
102,Female,49,62,48,False,False,False,False
103,Male,67,62,59,False,False,False,False
104,Male,26,62,55,False,False,False,False
105,Male,49,62,56,False,False,False,False
106,Female,21,62,42,False,False,False,False
107,Female,66,63,50,False,False,False,False
108,Male,54,63,46,False,False,False,False
109,Male,68,63,43,False,False,False,False
110,Male,66,63,48,False,False,False,False
111,Male,65,63,52,False,False,False,False
112,Female,19,63,54,False,False,False,False
113,Female,38,64,42,False,False,False,False
114,Male,19,64,46,False,False,False,False
115,Female,18,65,48,False,False,False,False
116,Female,19,65,50,False,False,False,False
117,Female,63,65,43,False,False,False,False
118,Female,49,65,59,False,False,False,False
119,Female,51,67,43,False,False,False,False
120,Female,50,67,57,False,False,False,False
121,Male,27,67,56,False,False,False,False
122,Female,38,67,40,False,False,False,False
123,Female,40,69,58,False,False,False,False
124,Male,39,69,91,False,False,False,False
125,Female,23,70,29,False,False,False,False
126,Female,31,70,77,False,False,False,False
127,Male,43,71,35,False,False,False,False
128,Male,40,71,95,False,False,False,False
129,Male,59,71,11,False,False,False,False
130,Male,38,71,75,False,False,False,False
131,Male,47,71,9,False,False,False,False
132,Male,39,71,75,False,False,False,False
133,Female,25,72,34,False,False,False,False
134,Female,31,72,71,False,False,False,False
135,Male,20,73,5,False,False,False,False
136,Female,29,73,88,False,False,False,False
137,Female,44,73,7,False,False,False,False
138,Male,32,73,73,False,False,False,False
139,Male,19,74,10,False,False,False,False
140,Female,35,74,72,False,False,False,False
141,Female,57,75,5,False,False,False,False
142,Male,32,75,93,False,False,False,False
143,Female,28,76,40,False,False,False,False
144,Female,32,76,87,False,False,False,False
145,Male,25,77,12,False,False,False,False
146,Male,28,77,97,False,False,False,False
147,Male,48,77,36,False,False,False,False
148,Female,32,77,74,False,False,False,False
149,Female,34,78,22,False,False,False,False
150,Male,34,78,90,False,False,False,False
151,Male,43,78,17,False,False,False,False
152,Male,39,78,88,False,False,False,False
153,Female,44,78,20,False,False,False,False
154,Female,38,78,76,False,False,False,False
155,Female,47,78,16,False,False,False,False
156,Female,27,78,89,False,False,False,False
157,Male,37,78,1,False,False,False,False
158,Female,30,78,78,False,False,False,False
159,Male,34,78,1,False,False,False,False
160,Female,30,78,73,False,False,False,False
161,Female,56,79,35,False,False,False,False
162,Female,29,79,83,False,False,False,False
163,Male,19,81,5,False,False,False,False
164,Female,31,81,93,False,False,False,False
165,Male,50,85,26,False,False,False,False
166,Female,36,85,75,False,False,False,False
167,Male,42,86,20,False,False,False,False
168,Female,33,86,95,False,False,False,False
169,Female,36,87,27,False,False,False,False
170,Male,32,87,63,False,False,False,False
171,Male,40,87,13,False,False,False,False
172,Male,28,87,75,False,False,False,False
173,Male,36,87,10,False,False,False,False
174,Male,36,87,92,False,False,False,False
175,Female,52,88,13,False,False,False,False
176,Female,30,88,86,False,False,False,False
177,Male,58,88,15,False,False,False,False
178,Male,27,88,69,False,False,False,False
179,Male,59,93,14,False,False,False,False
180,Male,35,93,90,False,False,False,False
181,Female,37,97,32,False,False,False,False
182,Female,32,97,86,False,False,False,False
183,Male,46,98,15,False,False,False,False
184,Female,29,98,88,False,False,False,False
185,Female,41,99,39,False,False,False,False
186,Male,30,99,97,False,False,False,False
187,Female,54,101,24,False,False,False,False
188,Male,28,101,68,False,False,False,False
189,Female,41,103,17,False,False,False,False
190,Female,36,103,85,False,False,False,False
191,Female,34,103,23,False,False,False,False
192,Female,32,103,69,False,False,False,False
193,Male,33,113,8,False,False,False,False
194,Female,38,113,91,False,False,False,False
195,Female,47,120,16,False,False,False,False
196,Female,35,120,79,False,False,False,False
197,Female,45,126,28,False,False,False,False
198,Male,32,126,74,False,False,False,False
199,Male,32,137,18,False,False,True,False
200,Male,30,137,83,False,False,True,False
